order_id,customer_id,product_id,order_date,region,channel,quantity,total_amount,status
1,1263,226,2024-06-02,North,web,5,17829.8,cancelled
2,1270,390,2024-03-09,South,web,4,6091.68,delivered
3,2059,231,2025-09-03,South,mobile,5,3810.25,delivered
4,2278,327,2024-12-04,North,mobile,2,995.48,returned
5,1419,35,2023-05-12,West,mobile,2,3272.48,cancelled
6,2439,30,2023-04-27,South,mobile,4,999.52,delivered
7,2479,40,2025-06-07,West,mobile,3,1653.96,delivered
8,2065,97,2023-12-03,East,web,8,6295.28,delivered
9,1170,177,2024-04-30,West,marketplace,3,1631.97,cancelled
10,162,213,2024-11-22,East,web,2,330.98,delivered
11,1550,151,2023-12-04,West,mobile,3,8097.54,delivered
12,553,76,2025-04-16,South,web,3,1527.51,delivered
13,1259,4,2025-02-16,East,marketplace,4,4326.08,delivered
14,1681,324,2023-04-03,North,mobile,4,4556.0,cancelled
15,930,155,2024-11-06,South,marketplace,1,255.46,delivered
16,2123,59,2025-11-14,West,web,2,2595.86,cancelled
17,2003,151,2024-12-27,East,web,1,2699.18,delivered
18,1037,67,2023-10-09,East,marketplace,2,1333.96,cancelled
19,1373,215,2023-11-19,South,mobile,2,1163.08,delivered
20,1834,288,2025-09-01,North,marketplace,2,994.76,delivered
21,697,207,2025-05-18,South,web,3,809.64,delivered
22,397,89,2023-11-13,West,mobile,2,2940.86,delivered
23,967,101,2024-08-05,West,web,2,3501.3,delivered
24,2442,299,2024-01-08,South,mobile,3,3403.02,delivered
25,1526,184,2025-07-09,South,marketplace,2,7090.76,delivered
26,1813,70,2023-03-24,North,mobile,1,1503.83,delivered
27,1695,142,2023-02-04,South,web,2,1887.98,delivered
28,1401,38,2025-12-30,West,mobile,2,2976.06,delivered
29,464,222,2023-10-17,North,web,5,14597.55,delivered
30,648,352,2023-10-20,East,web,5,3399.2,delivered
31,2150,391,2025-08-11,South,mobile,1,367.03,delivered
32,1517,335,2025-10-15,West,web,3,4890.36,delivered
33,1739,249,2024-11-12,South,web,2,2041.2,delivered
34,148,134,2023-08-23,South,mobile,2,983.3,delivered
35,2021,180,2023-10-30,South,marketplace,2,3555.66,delivered
36,1632,244,2023-08-24,North,web,2,3030.54,cancelled
37,867,115,2023-01-03,South,marketplace,4,4030.96,returned
38,2054,376,2023-02-01,East,mobile,4,12571.6,delivered
39,1520,337,2024-05-17,North,web,3,1221.63,delivered
40,1477,345,2024-11-02,West,mobile,4,2188.6,cancelled
41,758,316,2023-06-19,South,web,3,4466.43,delivered
42,887,284,2023-01-28,North,mobile,3,2413.14,delivered
43,938,26,2023-08-28,West,mobile,2,536.92,delivered
44,2003,339,2023-05-10,East,marketplace,1,407.48,delivered
45,1803,200,2023-04-12,West,web,3,1500.81,returned
46,2468,1,2023-11-09,East,mobile,2,3374.7,delivered
47,1546,285,2023-11-13,South,mobile,2,2222.64,cancelled
48,1289,225,2023-05-18,West,mobile,2,1236.26,delivered
49,1866,191,2023-05-23,West,mobile,2,1354.9,delivered
50,1032,115,2023-02-11,East,marketplace,1,1007.74,delivered
